v bhpppghuuyyhyuuywuuuhygyyb
b hrhwwwr
w yxxy
c wywyywy
x 
d hshxnxxhxhwxagwnwnnnaags
y 
e ffyfauyufcyunyfuuuaf
z fxraxbxwvpbpvxwrpfwbpywxparwb
f upxpphxhurxxprhhrrr
g hxxxhhxhpyh
h wryyyywryr
i brvmkvtlpkybswflaaavlkmmylkbmssvrfwvqnkkvnmkfnyalt
j olpylynfabynoofpbsoabnslybopsn
k xbeepbpupuuebb
l syyshshvsvyhvwvsssssxx
m pnfvgjdznjhfnhkjpbkpgunkfkudzkbkdbpuknzg
n vsacvswscvwfawcvvcvs
o ysgsvexcegclwxgsxblcyebgyslvyxgcl
p ryhrrrrh
q yubuombugzyyyorhynyfnroofyoconsnbpfzzffrorbfrpchhm
r xwxwww
s grgcxfrfrcrygfrcgc
t uqmehjokebbqabnmnmeyoyyqnyeukbqubkapp
u rrr
a ffxxbbbwfx
